"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Pterophorus pentadactyla"	3	63.8726203333333	233.727436690117	56.1386513170786	1	-3.02563051252196	0.005	199
"Urbanus proteus"	18	68.9589635	160.888972295645	24.61267462314	1	-3.73506781376842	0.005	199
"Parum colligata"	2	34.8394	249.242067723618	76.4426915678107	2	-2.80475037346672	0.01	199
"Phragmatobia fuliginosa"	24	105.976620875	146.800367543132	19.7772882996624	4	-2.06417310854639	0.02	199
"Xylophanes tersa"	16	121.61283675	165.974262658606	25.808923151241	7	-1.7188406369629	0.035	199
"Acrocercops transecta"	5	92.358798	215.73427060201	43.527412112033	1	-2.83443160563877	0.005	199
"Cydia pomonella"	13	86.1939680769231	174.412735367994	31.6694165762255	1	-2.78561390857125	0.005	199
"Archaeoses polygrapha"	2	9.48721	266.637419532663	109.008533702432	1	-2.358991546796	0.005	199
"Telchin licus"	2	213.468186	257.453572537688	101.437564281405	23	-0.433620294900473	0.115	199
"Palaeagapetus nearcticus"	0	NA	NA	NA	NA	NA	NA	199
"Prionoxystus robiniae"	15	140.577653533333	169.039490944724	27.5926651774382	27	-1.03150011890344	0.135	199
"Phyllodes eyndhovii"	2	14.88824	252.733119140704	79.5079216222006	1	-2.99146140771829	0.005	199
"Megathymus yuccae"	2	4.35456	263.092199708543	97.4971115783876	1	-2.65379799995939	0.005	199
"Yponomeuta evonymellus"	2	26.2142	255.689420376884	96.2041381659196	3	-2.38529469471591	0.015	199
"Striglina suzukii"	2	13.25557	252.003078562814	91.6993510179521	1	-2.60358994815649	0.005	199
"Phymatopus californicus"	3	113.142215666667	232.299168567839	57.0632036306147	7	-2.08815743456163	0.035	199
"Parides eurimedes"	2	49.1268	262.248547296482	85.1975656552827	1	-2.50150043205217	0.005	199
"Nemophora degeerella"	2	88.2524	250.832675	73.6409478143466	4	-2.20774283636157	0.02	199
"Bombyx mori"	2	247.46967	250.071423241206	69.9782463235028	122	-0.0371794575871247	0.61	199
"Thyridopteryx ephemeraeformis"	92	101.033463347826	95.2723339607276	7.23459618574475	157	0.796330470863104	0.785	199
"Macaria distribuaria"	2	21.7808	264.023868577889	107.535949303394	2	-2.25267057339534	0.01	199
"Enteucha acetosae"	2	17.84176	256.633908361809	87.9601812783986	1	-2.71477553696734	0.005	199
"Eudocima salaminia"	8	140.54690325	194.316347996231	39.2133585086214	15	-1.37120223289238	0.075	199
"Euproctis chrysorrhoea"	41	102.533945097561	124.752590234465	14.9763143076108	15	-1.48358565936431	0.075	199
"Bombyx mandarina"	5	220.5542766	215.320110949749	49.3866302014089	100	0.105983454001725	0.5	199
"Zygaena fausta"	2	9.73404	259.853259824121	93.1466893818268	1	-2.68521856744508	0.005	199
"Lymantria dispar"	79	114.846547113924	99.618395341963	8.23424115951064	196	1.84936917403401	0.98	199
"Papilio machaon"	38	42.5373303684211	128.655945874372	14.6750403078823	1	-5.86837335361148	0.005	199
"Synemon plana"	2	20.82455	260.23634378392	105.196495169502	2	-2.27585332950644	0.01	199
"Amphipyra pyramidea"	9	106.111086222222	195.227411609157	33.0586830126163	1	-2.69570101606664	0.005	199
"Philodoria splendida"	2	27.6472	260.669958673367	113.024009360174	1	-2.0617102507025	0.005	199
"Acanthopteroctetes unifascia"	2	8.92874	258.198481949749	93.546600630262	1	-2.66465847257213	0.005	199
"Plutella xylostella"	22	94.5536464545455	154.216317780037	22.153285781175	1	-2.69317481455461	0.005	199
"Mania lunus"	2	237.15826	265.314276316583	110.522484628436	58	-0.25475374003073	0.29	199
"Podosesia syringae"	6	60.1442046666667	211.956669308208	40.5587533634804	1	-3.74302590814428	0.005	199
"Leucoptera coffeella"	2	6.0147	250.326617994975	81.7005887111339	1	-2.99033240578939	0.005	199
"Epicopeia hainesii"	2	95.4208	248.673656537688	77.2035522617788	7	-1.98504928915764	0.035	199
"Striacosta albicosta"	5	80.0088176	217.474350042211	43.8199883758788	1	-3.13705086507692	0.005	199
"Hebomoia glaucippe"	4	64.60451075	223.735190918342	54.7728137917134	1	-2.9052858371212	0.005	199
"Amyelois transitella"	33	118.609158090909	133.519446244252	16.2346398112069	38	-0.918424327655843	0.19	199
"Lantanophaga pusillidactyla"	4	119.34651375	224.497311031407	50.5914575121667	5	-2.07842988623365	0.025	199
"Papilio glaucus"	29	96.285518862069	138.237452550858	18.2728334709503	2	-2.29586362484411	0.01	199
"Agrotis infusa"	9	188.402347666667	188.889067657175	33.1617101085714	105	-0.0146771680023303	0.525	199
"Hemiargus ceraunus"	15	74.7804805333333	169.38425298526	26.4513719741093	1	-3.57651665647153	0.005	199
"Tegeticula yuccasella"	2	4.35456	263.092199708543	97.4971115783876	1	-2.65379799995939	0.005	199
"Danaus plexippus"	18	69.0337006666667	164.80942575321	27.7573515570039	1	-3.45046338047973	0.005	199
"Biston betularia"	55	113.957786363636	114.476745724166	10.8808079975963	106	-0.047694928597635	0.53	199
